"locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","Program"
"NEWS04-1105",45.37608,-70.75558,"HORSESHOE STREAM","EPA"
"NEWS04-1106",45.02828,-71.28039,"CEDAR STREAM","EPA"
"NEWS04-1202",45.1809,-70.01658,"CARRYING PLACE STREAM","EPA"
"NEWS04-1302",45.29801,-68.8517,"SCHOODIC BROOK","EPA"
"NEWS04-1303",44.96026,-68.99748,"KENDUSKEAG RIVER","EPA"
"NEWS04-1410",45.45344,-68.09774,"SPRUCE BROOK","EPA"
"NEWS04-1702",44.2811,-72.4543,"WINOOSKI RIVER","EPA"
"NEWS04-1801",44.5808,-72.0714,"MILLER RUN","EPA"
"NEWS04-1801",44.58082,-72.07137,"MILLER RUN","EPA"
"NEWS04-1901",44.89172,-70.38491,"HARDY STREAM","EPA"
"NEWS04-1903",44.5631,-70.8574,"BEAR RIVER","EPA"
"NEWS04-2002",44.98335,-69.55696,"HIGGINS BROOK","EPA"
"NEWS04-2101",44.77489,-68.39244,"JELLISON MEADOW BROOK","EPA"
"NEWS04-2301",43.946,-72.7115,"THIRD BRANCH WHITE RIVER","EPA"
"NEWS04-2302",44.214156,-72.965909,"HUNTINGTON RIVER","EPA"
"NEWS04-2401",43.6961,-71.9818,"INDIAN RIVER","EPA"
"NEWS04-2401",43.696105,-71.981829,"INDIAN RIVER","EPA"
"NEWS04-2502",43.7479,-71.1469,"BEECH RIVER","EPA"
"NEWS04-2805",43.2611,-73.0884,"METTAWEE RIVER","EPA"
"NEWS04-2907",43.1519,-72.3491,"WARREN BROOK","EPA"
"NEWS04-3004",43.3365,-70.9967,"COCHECO RIVER","EPA"
"NEWS04-3102",43.43982,-70.5568,"KENNEBUNK RIVER","EPA"
"NEWS04-3206",42.5346,-72.5282,"SAWMILL RIVER","EPA"
"NEWS04-3303",42.911,-71.9962,"DINSMORE POND STREAM","EPA"
"NEWS04-3406",42.8474,-71.3463,"BEAVER BROOK","EPA"
"NEWS04-3504",41.8804,-73.3305,"MILL BROOK","EPA"
"NEWS04-3603",41.9508,-72.3036,"WILLAMANTIC RIVER","EPA"
"NEWS04-3603",41.9508,-72.3036,"WILLIMANTIC","EPA"
"NEWS04-3701",42.0904,-71.2981,"STOP BROOK","EPA"
"NEWS04-3802",42.1285,-70.8737,"LONGWATER BROOK","EPA"
"NEWS04-3901",41.324,-73.4411,"SAUGATUCK","EPA"
"NEWS04-4003",41.6369,-72.8683,"STEELE BROOK","EPA"
"NEWS04-4104",41.5979,-72.1953,"PEASE BROOK","EPA"
"NEWS04-4201",41.5589,-71.1295,"GREAT SWAMP BROOK","EPA"
"NEWS04-CT03",41.5753,-72.4282,"SALMON RIVER","EPA"
"NEWS04-CT05",41.2945,-73.3948,"SAUGATUCK","EPA"
"NEWS04-ME04",46.7594,-67.2406,"GARDNER BROOK","EPA"
"NEWS04-ME05",46.3041,-67.8557,"NORTH BRANCH MEDUXNEKEAG RIVER","EPA"
"NEWS04-NH01",44.81188,-71.24184,"CLEAR STREAM","EPA"
"NEWS04-NH03",43.86,-71.3746,"WHITE FACE","EPA"
"NEWS04-RI01",41.539,-71.699,"WOOD RIVER","EPA"
"NEWS04-ST03",42.7033,-72.6711,"GREEN RIVER","EPA"
"NEWS04-ST04",42.4109,-71.7912,"STILLWATER RIVER","EPA"
"NEWS04-VT01",44.5603,-71.9639,"EAST BRANCH","EPA"
"NV102697",41.49997,-116.38388,"SOUTH FORK OWYHEE RIVER","EPA"
"NV131801",41.37465,-115.34339,"SOUTH FORK HANK'S CREEK","EPA"
"NV188836",40.06393,-119.71251,"POISON CANYON CREEK","EPA"
"NV196887",40.7479,-115.36317,"MIDDLE FORK COLD CREEK","EPA"
"NV202758",40.64761,-115.46502,"RABBIT CREEK","EPA"
"NV249709",39.25812,-119.87503,"FRANKTOWN CREEK","EPA"
"NV295672",38.73489,-119.39595,"SPRING GULCH","EPA"
"NV315740",38.80562,-117.40482,"REESE RIVER","EPA"
"NV323432",38.78786,-116.8736,"PINE CREEK","EPA"
"NV343320",38.97387,-114.2536,"BAKER CREEK","EPA"
"NV375117",37.86571,-118.30884,"TRAIL CANYON CREEK","EPA"
"NV379814",37.81847,-118.23588,"CHIATOVICH CREEK","EPA"
"NV42032",41.99525,-117.99999,"MCDERMITT CREEK","EPA"
"NV47930",41.98969,-117.53136,"EAST FORK QUINN RIVER","EPA"
"NV50633",41.94718,-117.53528,"SOUTH FORK QUINN RIVER","EPA"
"NV52961",41.93489,-117.40213,"ANDERSON CREEK","EPA"
"NV84955",41.92636,-115.33009,"EAST FORK JARBIDGE RIVER","EPA"
"NV87104",41.94493,-114.92212,"NORTH FORK SALMON FALLS CREEK","EPA"
"NV94550",41.50288,-117.10958,"NORTH FORK LITTLE HUMBOLDT RIVER","EPA"
"ORSE04-R002",43.64373,-122.03084,"GOLD LAKE","EPA"
"ORSE04-R003",43.33054,-122.50774,"BOULDER CREEK","EPA"
"ORSE04-R005",42.3827,-119.72094,"GUANO_CK_HART_MTN","EPA"
"ORSE04-R009",42.59043,-118.59834,"WILDHORSE CREEK","EPA"
"ORSE04-R010",42.60206,-118.59338,"LITTLE WILDHORSE CREEK","EPA"
"ORSE04-R011",42.6779,-118.51607,"WILLOW CREEK_NEAR HUNTERS CABIN","EPA"
"ORSE04-R014",42.83172,-121.45684,"WILLIAMSON RIVER","EPA"
"ORSE04-R015",42.76615,-122.05922,"ANNIE CREEK_WOOD RIVER","EPA"
"ORSE04-R020",42.53102,-119.68224,"ROCK_CK_HART_MTN","EPA"
"ORSE04-R021",42.47762,-119.78429,"DEGARNO_CK_HART_MTN","EPA"
"ORSE04-R022",42.19177,-118.21222,"WILLOW CK_NEAR WHITEHORSE RANCH","EPA"
"OWW04440-0004",36.912623,-83.455594,"MIDDLE FORK KENTUCKY RIVER","EPA"
"OWW04440-0008",37.190539,-89.597779,"SALS CREEK","EPA"
"OWW04440-0010",40.001053,-75.813561,"NO NAME","EPA"
"OWW04440-0011",38.068629,-92.069629,"PRAIRIE CREEK","EPA"
"OWW04440-0014",34.715781,-85.611202,"TOWN CREEK","EPA"
"OWW04440-0015",38.525471,-75.66748,"COD CREEK","EPA"
"OWW04440-0016",41.349286,-89.378115,"EAST BUREAU CREEK","EPA"
"OWW04440-0017",33.358004,-87.145475,"MUD CREEK","EPA"
"OWW04440-0019",41.187327,-96.592269,"SANDY CREEK","EPA"
"OWW04440-0020",38.325542,-80.375038,"LITTLE FORK","EPA"
"OWW04440-0021",33.692831,-94.025326,"UNKNOWN","EPA"
"OWW04440-0021",33.692831,-94.025326,"BELL BROOK","EPA"
"OWW04440-0023",44.53038,-89.988282,"HEMLOCK CREEK","EPA"
"OWW04440-0026",39.205418,-81.254701,"MYERS FORK","EPA"
"OWW04440-0029",31.590495,-98.126858,"COW HOUSE CREEK","EPA"
"OWW04440-0029",31.590495,-98.126858,"COWHOUSE CREEK","EPA"
"OWW04440-0030",34.74253,-83.237095,"EAST TOXAWAY CREEK","EPA"
"OWW04440-0030",34.74253,-83.237095,"EAST TOXAWAY","EPA"
"OWW04440-0032",38.266739,-85.84011,"MIDDLE CREEK","EPA"
"OWW04440-0034",44.219009,-83.87287,"WHITNEY CREEK","EPA"
"OWW04440-0039",44.653166,-91.106276,"DIAMOND VALLEY CREEK","EPA"
"OWW04440-0040",38.964581,-89.984272,"INDIAN CREEK","EPA"
"OWW04440-0041",31.751762,-93.38834,"WATSON BAYOU","EPA"
"OWW04440-0043",46.380687,-90.062364,"BLACK RIVER","EPA"
"OWW04440-0045",35.958652,-106.486996,"SAN ANTONIO 2","EPA"
"OWW04440-0045",35.958652,-106.486996,"SAN ANTONIO","EPA"
"OWW04440-0046",34.775047,-84.556201,"MOUNTAINTOWN CREEK","EPA"
"OWW04440-0048",42.807136,-91.033742,"UNNAMED CREEK","EPA"
"OWW04440-0050",41.418397,-74.11618,"UNKNOWN","EPA"
"OWW04440-0050",41.418397,-74.11618,"U.T. TO MOODNA CREEK","EPA"
"OWW04440-0051",37.352714,-95.252582,"TOLEN CREEK","EPA"
"OWW04440-0054",33.549737,-83.622914,"CAMPBELL CREEK","EPA"
"OWW04440-0055",46.578743,-93.528994,"RICE RIVER","EPA"
"OWW04440-0056",40.374599,-91.318756,"RAILROAD CREEK","EPA"
"OWW04440-0058",41.318023,-78.892449,"WILLIAMS RUN","EPA"
"OWW04440-0059",44.625844,-94.5311,"COUNTY DITCH #31","EPA"
"OWW04440-0060",39.194194,-88.504833,"EAST BRANCH GREEN CREEK","EPA"
"OWW04440-0061",29.042984,-96.224393,"JUANITA CREEK","EPA"
"OWW04440-0063",42.11695,-78.319595,"WOLF RUN","EPA"
"OWW04440-0064",38.781648,-83.430248,"BRUSH CREEK","EPA"
"OWW04440-0066",42.960003,-75.788976,"MUNGER BROOK","EPA"
"OWW04440-0070",39.236965,-76.729683,"BULL RUN CREEK","EPA"
"OWW04440-0071",45.422052,-92.955402,"UNNAMED TRIBUTARY TO NORTH POOL","EPA"
"OWW04440-0077",36.868836,-106.453552,"CANONES CREEK","EPA"
"OWW04440-0078",36.319617,-87.674893,"WELLS CREEK","EPA"
"OWW04440-0080",43.562137,-89.904935,"UNNAMED CREEK","EPA"
"OWW04440-0081",31.556301,-87.841794,"RABBIT CREEK","EPA"
"OWW04440-0085",34.785985,-94.215022,"FOURCHE LA FAVE","EPA"
"OWW04440-0087",46.675774,-91.945211,"DUTCHMAN CREEK","EPA"
"OWW04440-0093",30.685259,-95.20188,"STEPHENS CREEK","EPA"
"OWW04440-0094",36.699392,-84.313243,"SOUTH FORK INDIAN CREEK","EPA"
"OWW04440-0096",40.064015,-82.534039,"RACCOON CREEK","EPA"
"OWW04440-0102",40.278716,-77.761435,"TROUGH SPRING BRANCH TUSCARORA CREEK","EPA"
"OWW04440-0103",44.200412,-90.725703,"UNNAMED CREEK","EPA"
"OWW04440-0106",39.655533,-79.361502,"BEAR CREEK","EPA"
"OWW04440-0107",45.699172,-87.407316,"CEDAR RIVER","EPA"
"OWW04440-0108",44.318731,-74.523826,"JORDAN RIVER","EPA"
"OWW04440-0112",39.327384,-87.147821,"EEL RIVER","EPA"
"OWW04440-0114",40.17127,-74.414977,"TOMS RIVER","EPA"
"OWW04440-0115",38.198903,-95.427425,"THOMAS CREEK","EPA"
"OWW04440-0122",41.116248,-80.635795,"CRAB CREEK","EPA"
"OWW04440-0124",38.85315,-89.397725,"BEAVER CREEK","EPA"
"OWW04440-0125",30.597374,-98.069603,"COW CREEK","EPA"
"OWW04440-0127",42.703282,-76.554624,"UT TO SALMON CREEK","EPA"
